country,region,year,earthquakeDeaths
Tonga,Asia,1979,0
Trinidad and Tobago,Americas,1979,0
Turkey,Europe,1979,0
Turkmenistan,Asia,1979,0
Uganda,Africa,1979,0
United Kingdom,Europe,1979,0
United States,Americas,1979,0
Uzbekistan,Asia,1979,0
Vanuatu,Asia,1979,0
Venezuela,Americas,1979,0
Yemen,Asia,1979,0
Afghanistan,Asia,1980,0
Albania,Europe,1980,0
Algeria,Africa,1980,2640
Argentina,Americas,1980,0
Armenia,Europe,1980,0
Australia,Asia,1980,0
Austria,Europe,1980,0
Azerbaijan,Europe,1980,0
Bangladesh,Asia,1980,0
Barbados,Americas,1980,0
Belgium,Europe,1980,0
Bolivia,Americas,1980,0
Brazil,Americas,1980,0
Bulgaria,Europe,1980,0
Burundi,Africa,1980,0
Chile,Americas,1980,0
China,Asia,1980,0
Colombia,Americas,1980,0
"Congo, Dem. Rep.",Africa,1980,0
"Congo, Rep.",Africa,1980,0
Costa Rica,Americas,1980,0
Croatia,Europe,1980,0
Cuba,Americas,1980,0
Cyprus,Europe,1980,0
Dominica,Americas,1980,0
Dominican Republic,Americas,1980,0
Ecuador,Americas,1980,8
Egypt,Africa,1980,0
El Salvador,Americas,1980,0
Fiji,Asia,1980,0
Georgia,Europe,1980,0
Germany,Europe,1980,0
Greece,Europe,1980,1
Guatemala,Americas,1980,0
Guinea,Africa,1980,0
Honduras,Americas,1980,2
Iceland,Europe,1980,0
India,Asia,1980,13
Indonesia,Asia,1980,0
Iran,Asia,1980,50
Iraq,Asia,1980,0
Italy,Europe,1980,4690
Japan,Asia,1980,2
Kazakhstan,Asia,1980,0
Kenya,Africa,1980,0
Kyrgyz Republic,Asia,1980,0
Malawi,Africa,1980,0
Mexico,Americas,1980,67
Morocco,Africa,1980,0
Mozambique,Africa,1980,0
Myanmar,Asia,1980,0
Nepal,Asia,1980,100
Netherlands,Europe,1980,0
New Zealand,Asia,1980,0
Nicaragua,Americas,1980,0
North Korea,Asia,1980,0
Pakistan,Asia,1980,0
Panama,Americas,1980,0
Papua New Guinea,Asia,1980,0
Peru,Americas,1980,7
Philippines,Asia,1980,0
Poland,Europe,1980,0
Romania,Europe,1980,0
Russia,Europe,1980,0
Rwanda,Africa,1980,0
